#,名称,評価,シナリオ,キャラクター,演出,音楽,作画,年度,視聴回数,ジャンル,視聴話数,全話数,ステータス,備考
1,トムとジェリー,99.2,5,5,5,5,4.8,1940,3,コメディ,1~78,不明,途中,ハンナ・バーベラ第一期
2,ドラえもん,77.6,5,4.6,3,3.2,3.6,1973,1,科学,?,不明,,
3,遊戯王デュエルモンスターズ,92.8,4.6,5,4.6,4.6,4.4,2000,1,カードゲーム,1~154,224,途中,
4,エルフェンリート,72,3,3.6,4,4.4,3,2004,1,恋愛,1~14,14,視聴完,
5,ローゼンメイデン,56.4,3,3,2.2,2.4,3.5,2004,1,バトル,1~12,12,視聴完,
6,ブラック・ジャック,72.4,4.6,4.5,3,3,3,2004,1,,?,?,?,
7,魔法少女リリカルなのは,63.2,3.2,4,3,2.6,3,2004,1,バトル,1~13,13,視聴完,
8,魔法少女リリカルなのはA's,64,3,4,3,3,3,2005,1,バトル,1~2,13,途中,
9,AIR,88.4,4.6,4,4.5,5,4,2005,2,感動,1~12,12,視聴完,
10,闘牌伝説アカギ ～闇に舞い降りた天才,92,4.8,5,5,4.2,4,2005,4,麻雀,1~26,26,視聴完,鷲巣編まではシナリオ満点
11,ローゼンメイデン トロイメント,62,3,3.5,3,3,3,2005,1,バトル,1~12,12,視聴完,
12,灼眼のシャナ,63.6,3.5,3.2,3,3,3.2,2005,1,バトル,1~24,24,視聴完,面白かった覚えがないけど歌はよかった。
13,撲殺天使ドクロちゃん2,65.6,3,4.2,4,2,3.2,2005,1,,,,視聴完,ギャグアニメの評価項目がない…。
14,コードギアス 反逆のルルーシュ,98.8,5,5,5,5,4.7,2006,3,,1~25,25,視聴完,次の話を早く見たいってなるアニメ
15,Kanon(京都アニメーション版),95.6,4.8,4.5,5,5,4.6,2006,8,,1~24,24,視聴完,演出と音楽が全て
16,涼宮ハルヒの憂鬱,81.6,4,4.2,3.8,4,4.4,2006,1,,1~14,14,視聴完,
17,ひぐらしのなく頃に,0,,,,,,2006,,,1~26,,,
18,時をかける少女,0,,,,,,2006,,,1,,,
19,N・H・Kにようこそ！,0,,,,,,2006,,,1~24,,,
20,人造昆虫カブトボーグ VxV,0,,,,,,2006,,,1~52,,,
21,Fate/stay night (2006年版),0,,,,,,2006,,,1~24,,,
22,半分の月がのぼる空,0,,,,,,2006,,,1~6,,,
23,ストロベリー・パニック,0,,,,,,2006,,,1~26,,,
24,CLANNAD （クラナド）,0,,,,,,2007,,,1~24,,,
25,BACCANO! -バッカーノ!-,0,,,,,,2007,,,1~16,,,
26,ef - a tale of memories.,0,,,,,,2007,,,1~12,,,
27,ひぐらしのなく頃に解,0,,,,,,2007,,,1~24,,,
28,劇場版 空の境界,0,,,,,,2007,,,1~3,6,,
29,みなみけ,0,,,,,,2007,,,1~13,13,,
30,瀬戸の花嫁,0,,,,,,2007,,,1~26,,,
31,逆境無頼カイジ Ultimate Survivor,0,,,,,,2007,,,1~26,,,
32,らき☆すた,0,,,,,,2007,,,1~24,,,
33,ヱヴァンゲリヲン新劇場版:序,0,,,,,,2007,,,1,1,,
34,ハヤテのごとく！,0,,,,,,2007,,,1~38,52,,
35,撲殺天使ドクロちゃん2,0,,,,,,2007,,,1~12,12,,
36,灼眼のシャナII (Second),0,,,,,,2007,,,1~24,24,,
37,Myself Yourself（マイセルフ ユアセルフ）,0,,,,,,2007,,,1~13,,,
38,ながされて藍蘭島,0,,,,,,2007,,,1~26,,,
39,School Days,0,,,,,,2007,,,1~13,,,
40,CLANNAD ～AFTER STORY～ (クラナド アフターストーリー),0,,,,,,2008,,,1~24,,,
41,コードギアス 反逆のルルーシュ R2 ,0,,,,,,2008,,,1~25,,,
42,とらドラ！,0,,,,,,2008,,,1~25,,,
43,夏目友人帳,0,,,,,,2008,,,1~13,,,
44,ef - a tale of melodies.,0,,,,,,2008,,,1~12,,,
45,ひぐらしのなく頃に礼,0,,,,,,2008,,,1~5,5,,
46,瀬戸の花嫁 OVA 仁,0,,,,,,2008,,,1~2,,,
47,デトロイト・メタル・シティ,0,,,,,,2008,,,1~3,3,,
48,とある魔術の禁書目録,0,,,,,,2008,,,1~24,24,,
49,テイルズ オブ ジ アビス,0,,,,,,2008,,,1~26,,,
50,D.C.II S.S. ～ダ・カーポII セカンドシーズン～,0,,,,,,2008,,,1~13,,,
51,H2O ～FOOTPRINTS IN THE SAND～,0,,,,,,2008,,,1~12,12,,
52,Candy boy,0,,,,,,2008,,,1~10,10,,
53,恋姫†無双,0,,,,,,2008,,,1~12,,,
54,To LOVEる -とらぶる-,0,,,,,,2008,,,1~26,,,
55,CHAOSHEAD（カオスヘッド）,0,,,,,,2008,,,1~12,,,
56,あかね色に染まる坂,0,,,,,,2008,,,1~12,,,
57,ロザリオとバンパイア,0,,,,,,2008,,,1,13,,
58,ペンギン娘♥はぁと,0,,,,,,2008,,,,,,
59,ペンギン娘♥はぁと 第二部,0,,,,,,2008,,,,,,
60,化物語,0,,,,,,2009,,,1~15,,,
61,サマーウォーズ,0,,,,,,2009,,,1,,,
62,とある科学の超電磁砲,0,,,,,,2009,,,1~24,,,
63,瀬戸の花嫁 OVA 義,0,,,,,,2009,,,1~2,2,,
64,こばと。,0,,,,,,2009,,,1~6,24,,
65,咲-Saki-,0,,,,,,2009,,,1~25,25,,
66,みなみけ おかえり,0,,,,,,2009,,,1~13,13,,
67,にゃんこい！,0,,,,,,2009,,,1~12,12,,
68,そらのおとしもの,0,,,,,,2009,,,1~14,14,,
69,真・恋姫†無双,0,,,,,,2009,,,1~12,12,,
70,生徒会の一存,0,,,,,,2009,,,1~12,12,,
71,涼宮ハルヒの憂鬱 第2期,0,,,,,,2009,,,1~14,14,,
72,涼宮ハルヒちゃんの憂鬱,0,,,,,,2009,,,1~2,2,,
73,宇宙をかける少女,0,,,,,,2009,,,1~26,,,
74,黒神 The Animation,0,,,,,,2009,,,1~24,,,
75,うみねこのなく頃に,0,,,,,,2009,,,1~26,,,
76,プリンセスラバー！,0,,,,,,2009,,,1~12,,,
77,11eyes-イレブンアイズ-,0,,,,,,2009,,,1~12,,,
78,タユタマ -Kiss on my Deity-,0,,,,,,2009,,,,,,
79,涼宮ハルヒの消失,0,,,,,,2010,,,1,1,,
80,WORKING!!,0,,,,,,2010,,,1~13,,,
81,デュラララ!!,0,,,,,,2010,,,1~24,,,
82,俺の妹がこんなに可愛いわけがない,0,,,,,,2010,,,1~15,,,
83,けいおん！！,0,,,,,,2010,,,1~26,,,
84,荒川アンダー ザ ブリッジ,0,,,,,,2010,,,1~13,,,
85,侵略！イカ娘,0,,,,,,2010,,,1~12,,,
86,みつどもえ,0,,,,,,2010,,,1~13,,,
87,B型H系,0,,,,,,2010,,,1~12,,,
88,そらのおとしもの f,0,,,,,,2010,,,1~12,,,
89,劇場版 Fate/stay night,0,,,,,,2010,,,1,1,,
90,伝説の勇者の伝説,0,,,,,,2010,,,1~24,24,,
91,Angel Beats!,0,,,,,,2010,,,1~13,13,,
92,生徒会役員共,0,,,,,,2010,,,1~13,13,,
93,バカとテストと召喚獣,0,,,,,,2010,,,1~13,13,,
94,神のみぞ知るセカイ,0,,,,,,2010,,,1~12,12,,
95,とある魔術の禁書目録II,0,,,,,,2010,,,1~24,24,,
96,真・恋姫†無双 ～乙女大乱～,0,,,,,,2010,,,1~12,12,,
97,こえでおしごと! The ANIMATION,0,,,,,,2010,,,1~6,6,,
98,もっと To LOVEる -とらぶる-,0,,,,,,2010,,,1~12,12,,
99,学園黙示録 HIGHSCHOOL OF THE DEAD,0,,,,,,2010,,,1~12,12,,
100,ゆとりちゃん,0,,,,,,2010,,,1~12,12,,
101,ヨスガノソラ,0,,,,,,2010,,,1~12,12,,
102,オオカミさんと七人の仲間たち,0,,,,,,2010,,,1~12,12,,
103,いちばんうしろの大魔王,0,,,,,,2010,,,1~12,12,,
104,kiss×sis,0,,,,,,2010,,,,,,
105,あそびにいくヨ！,0,,,,,,2010,,,1~12,12,,
106,おおかみかくし,0,,,,,,2010,,,1~12,12,,
107,迷い猫オーバーラン!,0,,,,,,2010,,,1~13,13,,
108,おまもりひまり,0,,,,,,2010,,,1~12,12,,
109,祝福のカンパネラ,0,,,,,,2010,,,1~12,12,,
110,シュタインズ・ゲート,0,,,,,,2011,,,1~24,24,,
111,魔法少女まどか☆マギカ,0,,,,,,2011,,,1~12,12,,
112,Fate/Zero 第1期,0,,,,,,2011,,,1~13,13,,
113,WORKING'!! (第2期),0,,,,,,2011,,,1~13,13,,
114,日常,0,,,,,,2011,,,1~26,26,,
115,未来日記,0,,,,,,2011,,,1~26,26,,
116,GOSICK -ゴシック-,0,,,,,,2011,,,1~24,24,,
117,みつどもえ 増量中！,0,,,,,,2011,,,1~8,8,,
118,逆境無頼カイジ 破戒録篇,0,,,,,,2011,,,1~26,26,,
119,ゆるゆり,0,,,,,,2011,,,1~12,12,,
120,神のみぞ知るセカイ 第2期,0,,,,,,2011,,,1~12,12,,
121,僕は友達が少ない,0,,,,,,2011,,,1~12,12,,
122,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,0,,,,,,2011,,,1~12,12,,
123,C,0,,,,,,2011,,,1~12,12,,
124,ベン・トー,0,,,,,,2011,,,1~12,12,,
125,まりあ†ほりっく あらいぶ,0,,,,,,2011,,,1~12,12,,
126,電波女と青春男,0,,,,,,2011,,,1~12,12,,
127,境界線上のホライゾン,0,,,,,,2011,,,1~13,13,,
128,IS〈インフィニット・ストラトス〉,0,,,,,,2011,,,1~12,12,,
129,これはゾンビですか？,0,,,,,,2011,,,1~12,12,,
130,まよチキ！,0,,,,,,2011,,,1~12,12,,
131,ロウきゅーぶ！,0,,,,,,2011,,,1~12,12,,
132,ましろ色シンフォニー -The color of lovers-,0,,,,,,2011,,,1~12,12,,
